,jngIfrmpRgsno,brno,crno,corpNm,brandNm,jnghdqrtrsRprsvNm,indutyLclasNm,indutyMlsfcNm,jngBizStrtDate,jngIfrmpRgsDt,yr,ifrmpRlsDocRgsDate,ifrmpRlsDocExstYn
0,20080100007,1148662046,1101113755498,(주)오피스넥스,오피스넥스(officenex),"선장덕,조성우",도소매,기타도소매,20000816,1684287082000,2023,,N
1,20080100020,8938800792,1101116555770,(주)비지에프리테일,씨유(CU),이건준,도소매,편의점,19640123,1691646980000,2023,,N
2,20080100023,2028162334,1101111595127,(주)대승인터컴,락휴노래연습장,안선태,서비스,오락,20071001,1684225670000,2023,,N
3,20080100025,1358105033,1345110002979,(주)에뛰드,에뛰드,이수연,도소매,화장품,20050819,1681199909000,2023,,N
4,20080100030,1068644917,1101113493957,(주)푸드넷시스템,토스피아(TOSPIA),최경업,외식,패스트푸드,20200219,1677115797000,2023,,N
5,20080100033,2018162229,1101112132316,(주)에땅,피자에땅,공동관,외식,피자,19990404,1688976720000,2023,,N
6,20080100034,2018162229,1101112132316,(주)에땅,오븐에빠진닭,공동관,외식,치킨,20080717,1688976720000,2023,,N
7,20080100044,2148165071,1101111007023,지에스엠비즈(주),autoOasis,허철홍,서비스,자동차 관련,19630922,1679632794000,2023,,N
8,20080100047,1128122058,1101110667167,(주)놀부,놀부보쌈족발,오진원,외식,한식,19890411,1693466652000,2023,,N
9,20080100048,1128122058,1101110667167,(주)놀부,놀부부대찌개,오진원,외식,한식,19920506,1693466662000,2023,,N
10,20080100050,1128122058,1101110667167,(주)놀부,놀부항아리갈비,오진원,외식,한식,20041206,1693466646000,2023,,N
11,20080100052,2178124157,1101113709940,다인에프씨(주),치킨마루,이현우,외식,치킨,20051010,1687328277000,2023,,N
12,20080100055,1268680576,1344110063882,(주)비에이지본스,본스치킨,안정제,외식,치킨,20070412,1686288935000,2023,,N
13,20080100056,1068643373,1101113471036,(주)아모레퍼시픽,아리따움,이동순 외 1인,도소매,화장품,20080901,1681192800000,2023,,N
14,20080100057,2988602026,1601110591100,(주)해피브릿지에프앤씨,화평동왕냉면,김덕종,외식,한식,20040304,1687245978000,2023,,N
15,20080100058,2118681359,1101112320317,(주)인토외식산업,와바,이효복,외식,주점,20010830,1675227270000,2023,,N
16,20080100060,1388124591,1341110123731,(주)뷰피플,얼짱몸짱,조윤오,서비스,이미용,20040501,1678066206000,2023,,N
17,20080100061,1278196998,2801110073195,(주)혜인식품,네네치킨,"현철호,현광식",외식,치킨,20100401,1677214757000,2023,,N
18,20080100064,2088127413,1101110899976,(주)코리아세븐,세븐일레븐,최경호,도소매,편의점,19901207,1691731315000,2023,,N
19,20080100066,3908100218,1101115905033,스무디킹코리아(주),스무디킹(SMOOTHIEKING),송현석,외식,음료 (커피 외),20030205,1693966739000,2023,,N
20,20080100071,2068629161,1101114000925,(주)카페베네,카페베네,박그레타,외식,커피,20080628,1689746345000,2023,,N
21,20080100073,1208603023,1101111929417,(주)푸드머스,푸드머스(SL),"천영훈, 박광순",도소매,기타도소매,20040401,1687314426000,2023,,N
22,20080100077,2088127238,1101111657472,(주)맛깔,맛깔참죽,이상화,외식,한식,20030721,1691050060000,2023,,N
23,20080100085,1868100924,1101116536481,롯데제과(주),나뚜루,"신동빈, 이영구",외식,아이스크림/빙수 ,19990716,1688429313000,2023,,N
24,20080100087,1198154871,1101112406638,(주)정다믄,김밥천국,정광열,외식,분식,20011226,1686707015000,2023,,N
25,20080100095,1068668127,1101114216522,(주)이니스프리,이니스프리(innisfree),최민정,도소매,화장품,20060123,1678681697000,2023,,N
26,20080100101,1058600032,1101111692949,(주)호경에프씨,코바코,이용재,외식,기타 외식,19990617,1686113826000,2023,,N
27,20080100111,1278190373,2801110066603,(주)채선당,채선당,김익수,외식,한식,20041221,1686554720000,2023,,N
28,20080100117,1058694656,1101113505752,(주)가업에프씨,구이가,배승찬,외식,기타 외식,20060804,1688003228000,2023,,N
29,20080100118,2138152063,1101110832736,(주)아성다이소,다이소,신호섭,도소매,기타도소매,20010901,1678351320000,2023,,N
30,20080100120,1058180287,1101110740533,마스타자동차관리(주),레디카,장은석,서비스,자동차 관련,20060401,1685515691000,2023,,N
31,20080100121,1058180287,1101110740533,마스타자동차관리(주),마스타,장은석,서비스,자동차 관련,19910103,1685515729000,2023,,N
32,20080100122,1148659798,1101113689126,투투정비서비스(주),투투정비서비스,임병혁,서비스,자동차 관련,20070508,1686890760000,2023,,N
33,20080100125,2068628861,1101113994012,(주)씨제이디푸드시스템,청진동해장국,조형균,외식,한식,20060428,1692670309000,2023,,N
34,20080100128,1088168400,1101113099820,(주)디엔에프씨,디델리,김정수,외식,분식,20041015,1680601930000,2023,,N
35,20080100133,1058605788,1101111833725,(주)초록마을,초록마을,김재연,도소매,기타도소매,20021116,1678235557000,2023,,N
36,20080100138,1078617204,1101112513136,(주)제이에스앤씨,죠샌드위치앤커피,이상혁,외식,패스트푸드,20020526,1675760737000,2023,,N
37,20080100142,1258154503,1346110026464,(주)스킨푸드,스킨푸드,구도곤,도소매,화장품,20041203,1682930017000,2023,,N
38,20080100147,7648101136,1101116799683,(주)다비치안경체인,다비치안경,김인규,서비스,안경,20030120,1673609432000,2023,,N
39,20080100157,6768600102,1101115727396,(주)맘스터치앤컴퍼니,맘스터치,김동전,외식,패스트푸드,20031009,1693546707000,2023,,N
40,20080100159,2208103371,1101110652118,청오디피케이(주),도미노피자,"오광현,김영훈",외식,피자,19901016,1678422742000,2023,,N
41,20080100161,1208103751,1101110600894,(주)공영식품,신기소,김재소,외식,일식,19991001,1687908005000,2023,,N
42,20080100162,1208103751,1101110600894,(주)공영식품,기소야,김재소,외식,일식,19891215,1688334759000,2023,,N
43,20080100166,2041440936,,한동길식품,한동길전통감자탕,"오동철,정만용",외식,한식,20060626,1674199889000,2023,,N
44,20080100168,1078198143,1101112208000,(주)엘지생활건강,더페이스샵,이정애,도소매,화장품,20031206,1693961582000,2023,,N
45,20080100172,2038124177,1101111425994,(주)일동인터내쇼날,둘둘치킨,용옥화,외식,치킨,19970613,1684389086000,2023,,N
46,20080100180,2158687597,1101113499567,(주)농협목우촌,또래오래,조재철,외식,치킨,20030528,1691554594000,2023,,N
47,20080100190,1088175158,1101113452101,(주)피자스쿨,피자스쿨,유혜미,외식,피자,20060501,1693293069000,2023,,N
48,20080100201,2158603641,1101112161430,주인프래너스(주),간이역,황병훈,외식,주점,19560521,1691138020000,2023,,N
49,20080100207,2118600870,1101111002122,(주)더본코리아,백종원의원조쌈밥집,백종원,외식,한식,19930406,1684389755000,2023,,N
50,20080100208,2118600870,1101111002122,(주)더본코리아,새마을식당,백종원,외식,한식,20051030,1684375171000,2023,,N
51,20080100209,2118600870,1101111002122,(주)더본코리아,본가,백종원,외식,한식,20020530,1684389600000,2023,,N
52,20080100210,2118600870,1101111002122,(주)더본코리아,홍콩반점0410,백종원,외식,중식,20040611,1684389600000,2023,,N
53,20080100219,7488601255,1345110375730,(주)에스지네트웍스,조춘식동태탕찜,김은원,외식,한식,20140403,1683794468000,2023,,N
54,20080100224,2118789926,1101113570094,(주)씽크스퀘어,씽크스퀘어,최근용,서비스,기타 교육,19660121,1674107125000,2023,,N
55,20080100233,1228158005,1201110193524,(주)용마을,용우동,이영찬,외식,분식,19610113,1691396934000,2023,,N
56,20080100239,2018628323,1101114926741,(주)틈새상사,틈새라면,박소희,외식,분식,20021128,1688721060000,2023,,N
57,20080100240,1208613972,1101112107591,㈜봉추푸드시스템,봉추찜닭,장준수,외식,한식,20001018,1689561228000,2023,,N
58,20080100243,1018607256,1101113053339,본아이에프(주),본죽,"이진희,이성진",외식,한식,20021231,1690351274000,2023,,N
59,20080100245,1098199153,1101113296054,(주)맥스원이링크,시즌아이피시(PC)방,황규연,서비스,PC방,20050924,1690188062000,2023,,N
60,20080100247,2148780598,1101113344697,(주)글라스박스,글라스박스(GLASSBOX),강현명,서비스,안경,20051118,1679968176000,2023,,N
61,20080100250,1428113360,1345110124947,(주)멀티푸드시스템,Port' Albs 피자굼터,곽성호,외식,피자,20060407,1681445855000,2023,,N
62,20080100257,5148601083,1101117155412,(주)이랜드이츠,더카페,황성윤,외식,커피,20020715,1681096873000,2023,,N
63,20080100258,5148601083,1101117155412,(주)이랜드이츠,피자몰,황성윤,외식,피자,19980501,1693189949000,2023,,N
64,20080100261,1428103431,1345110106268,(주)에이치푸드빌,훌랄라,김병갑,외식,치킨,20080811,1693460690000,2023,,N
65,20080100265,1208185049,1101111618094,(주)오피스디포코리아,Office Way(오피스웨이),조준,도소매,기타도소매,20040101,1685954460000,2023,,N
66,20080100272,6368100813,1244110199043,(주)에스제이푸드시스템,송주불냉면앤칼국수,최동조,외식,한식,20050514,1689310249000,2023,,N
67,20080100283,2208115014,1101111170987,아모제푸드(주),오므토토마토,신희호,외식,기타 외식,20040501,1690330575000,2023,,N
68,20080100288,1148601317,1101112032871,(주)오메가포인트,시매쓰,이충기,서비스,기타 교육,20020724,1675231014000,2023,,N
69,20080100292,2118832153,1101114191055,(주)캘리스코,사보텐,장성호,외식,일식,20031023,1690790280000,2023,,N
70,20080100313,2148694227,1101112365090,(주)에스에이치네트웍스,베스트빈,권민철,외식,커피,20040910,1685938648000,2023,,N
71,20080100314,5048149222,1701110235491,(주)다빈치,카페다빈치,정상형,외식,커피,20060929,1692692541000,2023,,N
72,20080100315,5048149222,1701110235491,(주)다빈치,다빈치커피,정상형,외식,커피,19970201,1692692537000,2023,,N
73,20080100320,2178144702,1101115387421,(주)한국창업경제연구소,짬장,장정용,외식,기타 외식,20070628,1691554614000,2023,,N
74,20080100324,2118783903,1101113488065,(주)디코레,북창동순두부,김수용,외식,한식,20011104,1688624976000,2023,,N
75,20080100325,6648700066,1211110289596,(주)보배식품,코만도,정승준,외식,치킨,20030520,1682665136000,2023,,N
76,20080100328,2018188520,1101113066473,(주)죽이야기,죽이야기,임영서,외식,한식,20040831,1690519432000,2023,,N
77,20080100329,1058148593,1101110793061,(주)한솔교육,브레인스쿨,김인환,서비스,교육 (교과),20030901,1686121457000,2023,,N
78,20080100342,5038170611,1701110300781,(주)신성마을,피자빙고,정은여,외식,피자,20051220,1690273694000,2023,,N
79,20080100357,2148811822,1101113714189,(주)첨성대,옛날농장,김성호,외식,한식,20010103,1681964906000,2023,,N
80,20080100359,2148714287,1101112559411,(주)삼성출판사,삼성영어셀레나,김진용,서비스,교육 (외국어),20070701,1692344263000,2023,,N
81,20080100371,2118806131,1101113782087,(주)엘에프푸드,하코야,"김생규,이승재",외식,일식,20080401,1683592800000,2023,,N
82,20080100373,2158665050,1101113134072,(주)탐앤탐스,탐앤탐스커피(TOMNTOMS COFFEE),명선철,외식,커피,20041218,1688445862000,2023,,N
83,20080100374,2068177464,1101112695067,(주)엔컴플러스,고스트캐슬,"최진식, 최진욱",서비스,PC방,20030315,1675063544000,2023,,N
84,20080100375,6668102675,1311110692482,(주)미스터피자,미스터피자,"김영광, 진형일",외식,피자,19960923,1681445566000,2023,,N
85,20080100381,1208661080,1101112912411,넥스큐브코퍼레이션(주),에듀플렉스,고승재,서비스,기타 교육,20040101,1687154919000,2023,,N
86,20080100393,2048603879,1101113666968,(주)인피트리,치킨뱅이,김영환,외식,치킨,20011208,1688617044000,2023,,N
87,20080100395,2068634188,1101114129668,(주)바바라앤코,바바라(BABARA),이재정,도소매,의류 / 패션,20070602,1688625420000,2023,,N
88,20080100396,7104500199,,종로빈대떡체인사업부,JBD 본 종로빈대떡,정철주,외식,한식,19931001,1688461315000,2023,,N
89,20080100397,1208163948,1101140070885,한국피자헛(유),피자헛,김진영,외식,피자,19971112,1678085979000,2023,,N
90,20080100399,1051744524,,아이에스크리에이티브,더후라이팬후라이드치킨(The Frypan Fried Chicken),이정규,외식,치킨,20080410,1678870800000,2023,,N
91,20080100401,1098621363,1101114250174,(주)현인에프앤디,아리아치킨,유병갑,외식,치킨,20061106,1683769045000,2023,,N
92,20080100408,1058629062,1101112298267,(주)리딩타운,리딩타운어학원,송순호,서비스,교육 (외국어),,1684124483000,2023,,N
93,20080100419,1121871875,,유진물산,꾸꾸루꾸유진바베큐 치킨,최광호,외식,치킨,19820320,1678238401000,2023,,N
94,20080100423,2108141418,1101112529167,토피아에듀케이션(주),토피아어학원,김석환,서비스,교육 (외국어),20020521,1690268977000,2023,,N
95,20080100426,6038120196,1801110147214,"메디팜(주)(MEDIPHARMCO.,LTD)",메디팜,손준형,서비스,약국,19931018,1687337012000,2023,,N
96,20080100430,2138145261,1101110551724,(주)보우앤파트너스,미소야,이진규,외식,일식,20001214,1684739055000,2023,,N
97,20080100444,2148791095,1101113466904,(주)커브스코리아,커브스(curves),김재영,서비스,스포츠 관련,20060730,1673590634000,2023,,N
98,20080100445,2158687597,1101113499567,(주)농협목우촌,목우촌웰빙마을,조재철,외식,기타 외식,19951102,1691554610000,2023,,N
99,20080100464,2118861599,1101114614586,(주)에프앤지코리아,아이스빈(ICE BEAN),이한주,외식,아이스크림/빙수 ,20080303,1675225975000,2023,,N
100,20080100473,2148640376,1101111794381,(주)스테프코리아,스테프핫도그(STEFF HOTDOG),권동호,외식,패스트푸드,20020412,1686559745000,2023,,N
101,20080100476,2158518792,1544110011077,(주)농협홍삼,한삼인,박하완,도소매,(건강)식품,20070413,1689924637000,2023,,N
102,20080100484,2128132555,1101111051442,(주)이이씨엘리트,윤선생영어교실,"김성중, 설황수",서비스,교육 (외국어),19951201,1688530980000,2023,,N
103,20080100485,1078719868,1101114089119,(주)르호봇비즈니스인큐베이터,르호봇,목영두,서비스,기타 서비스,19990610,1688532912000,2023,,N
104,20080100494,1148150152,1101110902927,(주)짐월드,짐보리 플레이앤뮤직,박기영,서비스,유아 관련 (교육 외),19930218,1678172411000,2023,,N
105,20080100496,2158197483,1101112069543,(주)리치빔,피자나라 치킨공주,남양우,외식,피자,20030601,1677214771000,2023,,N
106,20080100499,5058126523,1747110011001,(주)멕시카나,치킨더홈,"최광은, 임대진",외식,치킨,20070517,1677474186000,2023,,N
107,20080100521,1358603044,1358110167271,(주)보화,메리디움,최월선,도소매,의류 / 패션,20070215,1692315183000,2023,,N
108,20080100532,2158678399,1101113349077,(주)마루에프씨,우마루,"임완규, 송주임",외식,기타 외식,20051225,1684285992000,2023,,N
109,20080100538,2151945519,,돈푸드시스템,돈족골,김부곤,외식,기타 외식,20080110,1676019600000,2023,,N
110,20080100540,1198134685,1101111846174,(주)에이블씨엔씨,미샤,김유진,도소매,화장품,20030808,1689308406000,2023,,N
111,20080100542,6178171210,1801110627703,(주)토마토디앤씨,블루클럽,박윌리엄에이치씨,서비스,이미용,19980602,1685596112000,2023,,N
112,20080100545,1058714299,1101113780122,(주)코리아델로스케이디,치킨매니아,이길영,외식,치킨,20071101,1686891422000,2023,,N
113,20080100555,8758100271,1801111018117,(주)라이프스타일프로젝트,옵티마,김진호,서비스,약국,19990210,1679643540000,2023,,N
114,20080100559,1138138290,1101111291296,(주)바이오미스트테크놀로지,바이오미스트,"최영신, 최유나",서비스,기타 서비스,19960701,1687936610000,2023,,N
115,20080100564,2148773743,1101113253054,(주)펀키즈코리아,차일드큐브,황정준,외식,커피,20060301,1687915651000,2023,,N
