,yr,corpNm,brno,crno,indvdlCorpSeCd,corpRgDate,telno,fxno,bzmnRgsDate,rprsvNm,ozip,lctnAddr,lctnDaddr,brandCnt,affltsCnt,jngInstNm
0,2023,파티팡24,1011183799,,10,,16612826,0325625550,20130325,박진수,22849,인천광역시 서구 뱃길1로 42,가동 1층,1.0,0.0,인천시
1,2023,더라온누리(TheRaonnuri),1011435624,,10,,18771475,,20210222,길지영,62256,광주광역시 광산구 첨단중앙로181번길 88-21,"107동 202호(월계동, 첨단대우아파트)",1.0,0.0,조정원
2,2023,에스에이치컴퍼니,1012223685,,10,,0515819234,,20210726,김영식,46720,부산광역시 강서구 공항앞길85번길 107,(대저2동),1.0,0.0,부산시
3,2023,크린파트너본사,1013311550,,10,,18996353,0532871265,20200701,이대희,38517,경상북도 경산시 둥지로 104-3,1층(임당동),1.0,0.0,조정원
4,2023,코딩교육코방,1015900539,,10,,01022759647,00000000000,20210601,김도윤,51023,경상남도 김해시 율하5로 99,210동 404호,1.0,0.0,조정원
5,2023,본아이에프(주),1018607256,1101113053339,11,20040720,0216446288,027301530,20040720,"이진희,이성진",07268,서울특별시 영등포구 선유로 165,"(양평동3가,와이피센터) 6층",6.0,0.0,서울시
6,2023,(주)한국금거래소,1018611518,1101113146746,11,20050110,07047170767,027416314,20050107,송종길,03139,서울특별시 종로구 돈화문로5가길 1,"9-1호, 9-4호(돈의동, 피카디리플러스)",1.0,0.0,서울시
7,2023,(주)올어바웃푸드,1018636877,1101113815002,11,20080102,023051117,027434203,20080107,이승엽,04559,서울특별시 중구 마른내로12길 7-4,712호,1.0,0.0,서울시
8,2023,(주)포로이,1018646865,1101114052299,11,20090302,0236726444,0236726445,20090520,최재혁,01909,서울특별시 노원구 마들로 127,33동 101호(월계동),1.0,0.0,서울시
9,2023,(주)오가다,1018651922,1101114242246,11,20091216,027380124,027380127,20100101,최승윤,03086,서울특별시 종로구 대학로12길 15,"5층(동숭동, 비젼21)",3.0,0.0,서울시
10,2023,(주)아메리카요가,1018659147,1101114407725,11,20100805,025169999,025175252,20101001,윤종혁,04799,서울특별시 성동구 아차산로17길 49,"11층 1120호(성수동2가, 생각공장 데시앙플렉스)",1.0,0.0,서울시
11,2023,(주)티씨케이컴퍼니,1018664830,1101114639708,11,20110704,025186860,025426860,20110805,박순원,06011,서울특별시 강남구 도산대로85길 39,201호(청담동),1.0,0.0,서울시
12,2023,(주)북촌사람들,1018668710,1101114768010,11,20120105,15880397,027430980,20120105,전영석,03086,서울특별시 종로구 대학로10길 24,4층(동숭동),3.0,1.0,서울시
13,2023,(주)비케이알,1018676277,1101115006112,11,20121121,0263318282,0237754326,20121121,"문영주, 이동형",03150,서울특별시 종로구 삼봉로 71,"2층(수송동, 광화문G타워)",1.0,0.0,서울시
14,2023,카페코나퀸즈(주),1018677975,1101115029627,11,20121224,0264597770,0264597771,20130107,한림,03146,서울특별시 종로구 인사동길 50-1,"4층(관훈동, 썬빌딩)",1.0,0.0,서울시
